beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Cape May IPA,Cape May Brewing Co.,IPA - American,6.3,63,nice and refreshing and floral and citrusy. if anything id want a little more hoppiness  but still good,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,3.5,2/12/2021 22:43,https://untappd.com/c/995748552,https://untappd.com/beer/155721,https://untappd.com/brewery/13805,United States,Cape May,NJ,"floral,light,smooth",,Can,995748552,155721,13805,https://untappd.s3.amazonaws.com/photos/2021_02_13/481a6422d11ec226e29994059808e15a_raw.jpg,3.64,3.64,,1,0
Socks,Off Color Brewing,Farmhouse Ale - Saison,6.4,0,this is amazing. wow. funky and bright and citrusy and some maltiness on the finish.,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4.25,2/12/2021 23:27,https://untappd.com/c/995761752,https://untappd.com/beer/3494688,https://untappd.com/brewery/46709,United States,Chicago,IL,"citrusy,light,funky",,Bottle,995761752,3494688,46709,https://untappd.s3.amazonaws.com/photos/2021_02_13/2e03632aaabbad09f07402daf51ffaa4_raw.jpg,4.06,3.96,,1,0
Tasty IPA,21st Amendment Brewery,IPA - American,6.8,70,thought it would be a neipa based on description but guess not. taste is def not of a neipa — but rather a very good classic ipa. tropical and bitter notes from hops and a smooth mouthfeel. this is TASTY,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,2/13/2021 22:46,https://untappd.com/c/996373983,https://untappd.com/beer/2250427,https://untappd.com/brewery/4339,United States,San Leandro,CA,"smooth,hoppy,bitter",,Can,996373983,2250427,4339,https://untappd.s3.amazonaws.com/photos/2021_02_14/ddacfdc14df8cb1c5a7ea44f1d19a829_raw.jpg,3.71,3.71,,2,0
Psycho Cricket Porter,Cricket Hill Brewing Co.,Porter - Other,5.4,26,my rating is more accurate than Trevor G. but that’s just my opinion. has a lot of that roasty toasty to it. towing line of being too much of that but i think that’s why i like it,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,3.75,2/14/2021 0:36,https://untappd.com/c/996400236,https://untappd.com/beer/3686856,https://untappd.com/brewery/415,United States,Fairfield,NJ,"malty,roasty,coffeeish",,Can,996400236,3686856,415,https://untappd.s3.amazonaws.com/photos/2021_02_14/ffbd4daa68e193de2c979bc1370d6b1a_raw.jpg,3.66,3.68,,1,0
Morning Star,Seven Tribesmen Brewery,Blonde Ale,5.7,22,"very malty but light, just like a ✨morning star✨ (Im sorry that pun was a stretch)",Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,2/20/2021 22:51,https://untappd.com/c/998698184,https://untappd.com/beer/3832584,https://untappd.com/brewery/459629,United States,Wayne,NJ,"clean,smooth,refreshing",,Crowler,998698184,3832584,459629,https://untappd.s3.amazonaws.com/photos/2021_02_21/7297ed6cdefb721236715e2edaaa955c_raw.jpg,3.71,3.7,,0,0
Hop Gambit,Seven Tribesmen Brewery,IPA - New England,6.5,13,delightfully citrusy. for the seven tribesmen stans this is like the horizon ipa but more citrusy and THIC,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,2/26/2021 22:24,https://untappd.com/c/1000344584,https://untappd.com/beer/4187266,https://untappd.com/brewery/459629,United States,Wayne,NJ,"creamy,hoppy,citrus",,Crowler,1000344584,4187266,459629,https://untappd.s3.amazonaws.com/photos/2021_02_27/4940769c0a17805989717b5561152f13_raw.jpg,3.94,3.85,,0,0
Julius,Tree House Brewing Company,IPA - American,6.8,72,this is wonderful. thanks @sawyer for letting me have some,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4.25,2/27/2021 21:11,https://untappd.com/c/1000990427,https://untappd.com/beer/237985,https://untappd.com/brewery/20084,United States,Charlton,MA,"tropical,smooth,hoppy",,Can,1000990427,237985,20084,,4.5,4.5,,0,0
MOOBY'S Milkshake IPA (Guava & Vanilla),Red Tank Brewing (New Jersey),IPA - Milkshake,7,0,"hops are present, guava and vanilla are present. smooth mouthfeel. nice milkshake ipa",Untappd at Home,,Everywhere,United States,34.2347,-77.9482,3.75,2/27/2021 23:50,https://untappd.com/c/1001055398,https://untappd.com/beer/4027891,https://untappd.com/brewery/339947,United States,Red Bank,NJ,"citrusy,sweet,Hazy",,Can,1001055398,4027891,339947,https://untappd.s3.amazonaws.com/photos/2021_02_28/96a5c9690ec1990d4e2e7981c10b2ec9_raw.jpg,4,3.83,,0,0
Pompton Rye Lager,Seven Tribesmen Brewery,Lager - Euro Pale,5.5,16,really refreshing yet with a touch of rye spice. this beer is honoring my town well,Seven Tribesmen Brewery,Wayne,NJ,United States,40.9229,-74.2691,4.25,3/14/2021 12:41,https://untappd.com/c/1005921812,https://untappd.com/beer/4215602,https://untappd.com/brewery/459629,United States,Wayne,NJ,"malty,spicy,clean,refreshing",,Draft,1005921812,4215602,459629,https://untappd.s3.amazonaws.com/photos/2021_03_14/29988df442eff6c08b2c2cd85184c4b3_raw.jpg,3.77,3.72,,0,0
Sea Chest,Cape May Brewing Co.,IPA - Imperial / Double New England,7.4,36,light for a double. the extra hops provide a nice tropicalness and dankness to it. im a fan.,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,3/20/2021 21:47,https://untappd.com/c/1008276328,https://untappd.com/beer/3618617,https://untappd.com/brewery/13805,United States,Cape May,NJ,"tropical,light,bitter",,Can,1008276328,3618617,13805,https://untappd.s3.amazonaws.com/photos/2021_03_21/363f4ed62070dba5bbbe9eaa8f4e5676_raw.jpg,3.9,3.88,,0,0
New Beginnings Saison,Red Tank Brewing (New Jersey),Farmhouse Ale - Saison,5.5,0,has a nice balance of classic saison notes with subtle sweetness. nice funky balanced saison,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,3.75,3/20/2021 22:58,https://untappd.com/c/1008307629,https://untappd.com/beer/3873129,https://untappd.com/brewery/339947,United States,Red Bank,NJ,"bubblegum,light,spiced",,Crowler,1008307629,3873129,339947,https://untappd.s3.amazonaws.com/photos/2021_03_21/19dfcb3499ff68f4ca8bbf2cddfe300c_raw.jpg,3.6,3.65,,0,0
Hysterical,Redemption Rock Brewing Co.,Lager - American Amber / Red,4.7,0,a neipa and a lager had a baby. it’s got notes of an Indian session ale but the lager notes come through making a hoppy lager. how hysterical 🤪,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,3/21/2021 20:50,https://untappd.com/c/1008684706,https://untappd.com/beer/4205947,https://untappd.com/brewery/419372,United States,Worcester,MA,"sweet,smooth",,Can,1008684706,4205947,419372,https://untappd.s3.amazonaws.com/photos/2021_03_22/c2b7e6b7952199c71a2eae44d5ed29a2_raw.jpg,3.8,3.71,,1,0
Hardcastle's Irish Red,Redemption Rock Brewing Co.,Red Ale - Irish,5.1,17,nice and malty and toasty roasty,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,3/25/2021 20:36,https://untappd.com/c/1009482788,https://untappd.com/beer/3118417,https://untappd.com/brewery/419372,United States,Worcester,MA,"malty,light,sweetness",,Can,1009482788,3118417,419372,https://untappd.s3.amazonaws.com/photos/2021_03_26/4b73485fe1078a27e00be69a78021db5_raw.jpg,3.79,3.74,,1,0
Poms Not Bombs,Redemption Rock Brewing Co.,Sour - Fruited,5,0,"taste the pom, taste the grapefruit, taste the cinnamon. sour but not too sour. light finish. this is THE BOMB",Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,3/26/2021 23:09,https://untappd.com/c/1010042787,https://untappd.com/beer/4187153,https://untappd.com/brewery/419372,United States,Worcester,MA,"grapefruity,sour,cinnamon",,Crowler,1010042787,4187153,419372,https://untappd.s3.amazonaws.com/photos/2021_03_27/caa17c41c90ab74d31cee663c954b343_raw.jpg,3.73,3.7,,1,0
